fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"222",,151.927513064164,,444.815224793794,695035.457200823,6498065.68617634,695244.78201249,6497673.20215446,4.3
"223",,158.435593420509,,587.316126429169,695329.82021723,6497663.39005391,695545.686429262,6497117.18312347,4.6
"224",,79.9194020124733,,448.467741884804,695565.310630356,6497071.39332092,696006.855154968,6497149.89012529,4.3
"225",,46.2364076027793,,321.5449286366,696062.457058067,6497058.31052019,696294.67677101,6497280.71813258,3.9
"226",,49.3569750058493,,487.081825157908,696186.743664994,6497588.16394972,696556.332785595,6497905.4218674,4.4
"227",,68.7710650736957,,2249.14330073359,693521.123016416,6498189.97278326,695617.641833273,6499004.37712866,6.1
"228",,36.7618944193509,,694.043811747289,693082.849191987,6498562.83260405,693498.228115139,6499118.85163504,4.8
"229",,100.466755693766,,828.184946014348,692628.221866646,6499082.87393303,693442.62621204,6498932.42172465,4.9
"230",,116.69586323175,,640.664965437229,693723.906427718,6499063.24973194,694296.278959622,6498775.4281159,4.7
"231",,32.0740008752842,,289.489301759127,694397.670665273,6498755.8039148,694551.393573842,6499001.10642848,3.8
"232",,105.672820509575,,472.183091123952,693213.677199279,6499409.94395126,693668.304524619,6499282.38664415,4.3
"233",,32.5604379812329,,322.093399436701,692196.489442582,6498716.55551262,692369.836552244,6498988.02362775,3.9
"234",,63.1301869125338,,549.983577484809,692428.709155526,6498997.83572829,692919.314182871,6499246.40894215,4.5
"235",,27.824096384204,,266.275975889848,695794.259643118,6497977.37727141,695918.546250045,6498212.86768454,3.7
"236",,30.7841465262822,,178.934503911012,696075.539858796,6498124.55877962,696167.1194639,6498278.28168819,3.2
"237",,105.237027203976,,908.483709235566,694629.890378217,6497503.12574498,695506.438027075,6497264.36463167,5.1
"238",,41.6981343255396,,722.772940014623,695820.425244576,6497297.07163349,696301.218171375,6497836.73716358,4.8
"239",,115.325901427741,,879.289284920055,693197.323698367,6498049.33267542,693992.103842667,6497673.20215446,5
"240",,153.00416160593,,389.089620097319,693135.180394903,6498458.17019821,693311.798204748,6498111.47597889,4.1
"241",,85.5056423473757,,751.300549346869,693272.54980256,6498036.2498747,694021.540144308,6498095.12247798,4.8
"242",,171.950938298337,,327.020954047643,694024.810844491,6498013.35497342,694070.600647043,6497689.55565537,3.9
